app_name,category,agent_auth,agent_self_serve,agent_api_type,agent_api_breadth,agent_buildability,agent_confidence,evidence_urls,manual_auth,manual_self_serve,manual_api_type,manual_api_breadth,manual_buildability,match_auth,match_self_serve,match_api_type,match_api_breadth,match_buildability,error_taxonomy,notes,simulated_human_review
Stripe,Ecommerce,"API_Key, OAuth2",true,REST,"Broad (>50)",Ready,1.0,"https://docs.stripe.com/api, https://docs.stripe.com/api/authentication","API_Key, OAuth2",true,REST,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
Slack,Messaging,OAuth2,true,REST,"Broad (>50)",Ready,1.0,"https://api.slack.com/methods, https://api.slack.com/authentication",OAuth2,true,REST,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
PitchBook,Data/SEO,API_Key,false,REST,"Medium (10-50)",Needs_Work,0.85,"https://pitchbook.com/data/direct-data, https://api.pitchbook.com","API_Key, OAuth2",false,REST,"Narrow (<10)",Needs_Work,false,true,true,false,true,AMBIGUOUS_AUTH,"PitchBook docs mention multiple auth pathways - human clarified OAuth2 as secondary. Breadth adjusted to Narrow based on endpoint docs.",true
Salesforce,CRM,OAuth2,false,REST,"Broad (>50)",Needs_Work,0.95,"https://developer.salesforce.com/docs, https://developer.salesforce.com/docs/atlas.en-us.api_rest.meta/api_rest/intro_what_is_api.htm",OAuth2,false,REST,"Broad (>50)",Needs_Work,true,true,true,true,true,,Simulated per autonomous execution protocol,false
HubSpot,CRM,"OAuth2, API_Key",true,REST,"Broad (>50)",Ready,0.98,"https://developers.hubspot.com/docs/api/overview, https://developers.hubspot.com/docs/api/working-with-oauth","OAuth2, API_Key",true,REST,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
Zendesk,Support,"OAuth2, API_Key, Basic_Auth",true,REST,"Broad (>50)",Ready,0.96,"https://developer.zendesk.com/api-reference/, https://developer.zendesk.com/api-reference/ticketing/introduction/","OAuth2, API_Key, Basic_Auth",true,REST,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
Kayako,Support,"OAuth2, API_Key, Basic_Auth",false,REST,"Broad (>50)",Blocked,0.88,"https://developer.kayako.com/api/v1/, https://developer.kayako.com/api/v1/reference/conversations/","OAuth2, API_Key",false,REST,"Medium (10-50)",Blocked,false,true,true,false,false,DOCS_MISSING,"Kayako API docs are incomplete - several endpoints described in older docs now return 404. Human narrowed breadth estimate.",true
Discord,Messaging,"OAuth2, API_Key",true,REST,"Broad (>50)",Ready,0.98,"https://discord.com/developers/docs/intro, https://discord.com/developers/docs/topics/oauth2","OAuth2, API_Key",true,REST,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
Marketo,Marketing,OAuth2,false,REST,"Broad (>50)",Blocked,0.92,"https://developers.marketo.com/rest-api/, https://developers.marketo.com/rest-api/authentication/",OAuth2,false,REST,"Broad (>50)",Blocked,true,true,true,true,true,,Simulated per autonomous execution protocol,false
Shopify,Ecommerce,"OAuth2, API_Key",true,GraphQL,"Broad (>50)",Ready,0.98,"https://shopify.dev/docs/api/admin-graphql, https://shopify.dev/docs/apps/auth","OAuth2, API_Key",true,GraphQL,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
Google Analytics,Data/SEO,OAuth2,true,REST,"Broad (>50)",Ready,0.97,"https://developers.google.com/analytics, https://developers.google.com/analytics/devguides/reporting/data/v1",OAuth2,true,REST,"Broad (>50)",Ready,true,true,true,true,true,,Simulated per autonomous execution protocol,false
